活动,日期,开始日期,结束日期,报名费用,集合地点,爬升,下降,距离,车程
【11.9周六 初级】丹霞赤壁 | 和思凯乐一起与山野共舞,11月09日,11月09日,11月09日,07:00 公主坟新兴宾馆出发 | 07:20 西土城E口,99.0元/人,700m,700m,15km,2.5小时
【11.10周日 初级】咔嚓古道经典穿越路线,11月10日,11月10日,11月10日,07:40 西土城地铁站E口 | 08:00 公主坟新兴宾馆出发,68.0元/人,650m,600m,10km,1.5小时
